city,2011,2012,2013,2014,2015,2016_gdp,2016 Rank*
"Abilene, TX",6039,6397,6922,7454,6972,6752,253
"Akron, OH",29445,30011,31308,33461,35365,37300,75
"Albany, GA",4979,5127,5248,5173,5099,5124,313
"Albany, OR",3385,3530,3559,3629,3772,4027,351
"Albany-Schenectady-Troy, NY",44112,45731,47094,48563,50910,52339,57
"Albuquerque, NM",38117,38955,37897,39805,41561,43250,64
"Alexandria, LA",5341,5435,5483,5602,5650,6106,271
"Allentown-Bethlehem-Easton, PA-NJ",33142,33995,35624,39132,41116,42700,65
"Altoona, PA",4706,4778,4928,5096,5314,5371,299
"Amarillo, TX",11763,12025,12442,12954,12825,13009,173
"Ames, IA",3939,4416,4429,4618,4871,5021,318
"Anchorage, AK",30312,31460,31027,30233,28476,27280,95
"Ann Arbor, MI",19445,19826,20260,20175,21473,22010,114
"Anniston-Oxford-Jacksonville, AL",3865,3823,3690,3729,3755,3832,358
"Appleton, WI",10395,10758,10801,11339,12002,12434,180
"Asheville, NC",14372,14710,15280,16228,17302,18222,133
"Athens-Clarke County, GA",6967,7234,7366,7686,8271,8702,220
"Atlanta-Sandy Springs-Roswell, GA",280675,291483,307873,326556,344590,363768,10
"Atlantic City-Hammonton, NJ",12507,12653,12770,12771,12567,12751,177
"Auburn-Opelika, AL",3975,4177,4328,4607,4856,5193,309
"Augusta-Richmond County, GA-SC",20507,21010,21158,21905,22834,23398,108
"Austin-Round Rock, TX",96399,103513,111720,120494,127583,135010,27
"Bakersfield, CA",34652,36902,38035,39489,36466,35162,78
"Baltimore-Columbia-Towson, MD",158154,162776,167270,173054,179416,187395,19
"Bangor, ME",5283,5422,5455,5559,5775,5961,277
"Barnstable Town, MA",9599,10193,9970,10203,10741,11276,186
"Baton Rouge, LA",49471,51669,48357,51030,51096,51456,58
"Battle Creek, MI",5158,5350,5588,5607,5864,5997,275
"Bay City, MI",3039,3116,3157,3093,3202,3233,369
"Beaumont-Port Arthur, TX",21803,23334,23734,24363,24994,24875,103
"Beckley, WV",4667,4353,4239,4242,4106,4019,353
"Bellingham, WA",9521,9610,10047,9640,10049,10149,198
"Bend-Redmond, OR",6064,6421,6882,7588,8459,9364,213
"Billings, MT",8531,8762,8959,10058,10078,10014,200
"Binghamton, NY",9008,9032,9119,9098,9223,9369,212
"Birmingham-Hoover, AL",54417,57608,57699,58973,61063,62758,51
"Bismarck, ND",5641,6461,6861,7643,8087,7798,235
"Blacksburg-Christiansburg-Radford, VA",5660,6271,6335,6643,7066,7063,247
"Bloomington, IL",10259,10753,11249,11653,11214,11252,187
"Bloomington, IN",6412,6384,6192,6397,6654,6905,250
"Bloomsburg-Berwick, PA",3334,3430,3604,3599,3856,3941,355
"Boise City, ID",25311,26053,27715,29131,30423,31690,82
"Boston-Cambridge-Newton, MA-NH",339857,355585,365048,381049,406002,422660,9
"Boulder, CO",19760,20668,20974,22363,23212,23946,107
"Bowling Green, KY",5575,5957,6288,6465,6774,7192,245
"Bremerton-Silverdale, WA",9484,9456,9448,10006,10377,10663,191
"Bridgeport-Stamford-Norwalk, CT",85401,90441,92545,95748,99421,102401,37
"Brownsville-Harlingen, TX",8816,9149,9366,9654,10011,10462,196
"Brunswick, GA",3500,3435,3505,3575,3758,4114,347
"Buffalo-Cheektowaga-Niagara Falls, NY",50507,51596,52474,54412,56210,58062,55
"Burlington, NC",4638,4912,4892,4884,4989,5330,301
"Burlington-South Burlington, VT",11744,12204,12337,12695,13137,13648,167
"California-Lexington Park, MD",5686,5707,5823,5952,6175,6356,259
"Canton-Massillon, OH",13860,14713,15987,16849,16923,16343,146
"Cape Coral-Fort Myers, FL",20723,21261,21860,23613,25437,27301,94
"Cape Girardeau, MO-IL",3622,3737,3884,3999,4116,4172,344
"Carbondale-Marion, IL",4606,4954,4782,4850,4916,5195,308
"Carson City, NV",3023,3413,3229,3333,3160,3260,367
"Casper, WY",6315,6638,6755,7237,6633,5859,280
"Cedar Rapids, IA",15962,16185,16395,16977,17620,17577,137
"Chambersburg-Waynesboro, PA",4520,4594,4948,5122,5251,5310,302
"Champaign-Urbana, IL",10423,10979,11096,11478,11792,11992,182
"Charleston, WV",13981,13766,13265,12610,12887,12831,176
"Charleston-North Charleston, SC",30275,31556,32720,34769,36914,38776,73
"Charlotte-Concord-Gastonia, NC-SC",125326,131934,136399,143824,154874,163637,21
"Charlottesville, VA",10439,10958,11116,11806,12666,12851,175
"Chattanooga, TN-GA",21744,22883,23144,23637,24825,25495,100
"Cheyenne, WY",5280,5358,5533,5485,5521,5485,293
"Chicago-Naperville-Elgin, IL-IN-WI",547626,578016,585948,608723,635054,651222,3
"Chico, CA",6609,6517,7054,7067,7501,7817,234
"Cincinnati, OH-KY-IN",111666,115420,120413,123378,126612,132010,28
"Clarksville, TN-KY",10495,10551,10413,10433,10698,10661,192
"Cleveland, TN",3472,3839,3912,4116,4284,4278,340
"Cleveland-Elyria, OH",109886,114671,118335,123867,126721,129440,30
"Coeur d'Alene, ID",4438,4655,4845,5039,5382,5586,290
"College Station-Bryan, TX",7845,8260,8723,9313,9621,9520,209
"Colorado Springs, CO",27721,28397,28799,28779,29766,31376,83
"Columbia, MO",7231,7596,8128,8339,8661,8985,217
"Columbia, SC",32674,33370,34762,36766,39001,40086,70
"Columbus, GA-AL",12553,13047,13348,13493,13688,13760,165
"Columbus, IN",4511,4955,5169,5420,5769,5680,287
"Columbus, OH",101428,109268,113236,118340,125194,130758,29
"Corpus Christi, TX",20818,22199,24254,24379,23223,22403,112
"Corvallis, OR",5375,4787,4413,4356,4362,4559,334
"Crestview-Fort Walton Beach-Destin, FL",11017,11990,11290,12281,13004,13673,166
"Cumberland, MD-WV",2947,2996,3003,3053,3126,3204,370
"Dallas-Fort Worth-Arlington, TX",392006,417065,448179,477177,493048,511606,4
"Dalton, GA",5113,5281,5490,5741,5915,6173,266
"Danville, IL",2804,2825,2868,2866,2766,2750,377
"Daphne-Fairhope-Foley, AL",5433,5755,6443,6727,6672,6988,248
"Davenport-Moline-Rock Island, IA-IL",18744,19621,19031,19066,19054,18971,127
"Dayton, OH",34891,36117,36999,38418,39574,40572,68
"Decatur, AL",5036,5271,5366,5508,5203,5362,300
"Decatur, IL",5802,5833,5822,6200,6232,6129,270
"Deltona-Daytona Beach-Ormond Beach, FL",13426,14209,15146,15431,16095,17111,142
"Denver-Aurora-Lakewood, CO",159961,167491,173037,186338,190963,197969,18
"Des Moines-West Des Moines, IA",37999,41511,42304,45384,48243,50246,59
"Detroit-Warren-Dearborn, MI",206172,215614,220277,229327,243114,252691,13
"Dothan, AL",4589,4738,4819,4909,5009,5090,316
"Dover, DE",6092,6112,6314,6652,7098,7216,243
"Dubuque, IA",4525,5232,4979,5259,5462,5482,294
"Duluth, MN-WI",12236,12114,12465,12913,12541,12621,178
"Durham-Chapel Hill, NC",37677,37875,41803,43280,44340,43908,63
"East Stroudsburg, PA",5506,5463,5581,5560,5839,5995,276
"Eau Claire, WI",6655,7147,7194,7578,8093,8237,227
"El Centro, CA",5826,5613,5772,5682,5681,5720,285
"Elizabethtown-Fort Knox, KY",6102,6003,5951,6010,5828,6211,263
"Elkhart-Goshen, IN",9652,10916,11784,12989,14387,15515,154
"Elmira, NY",3284,3352,3357,3388,3393,3320,366
"El Paso, TX",25330,26479,26582,26645,27714,28644,90
"Enid, OK",2721,3006,3256,3555,3202,3123,371
"Erie, PA",10507,10467,10862,10883,11138,11151,189
"Eugene, OR",12635,12919,13289,13626,14669,15393,156
"Evansville, IN-KY",17512,17220,17081,17066,17110,16933,143
"Fairbanks, AK",5368,5500,5178,5344,5405,5400,297
"Fargo, ND-MN",11440,12730,13282,14266,14858,15497,155
"Farmington, NM",7438,7247,7077,7340,6330,5664,288
"Fayetteville, NC",17363,17268,17094,16794,16980,17320,140
"Fayetteville-Springdale-Rogers, AR-MO",19906,20732,22397,23759,25316,26764,97
"Flagstaff, AZ",5052,5012,5201,5307,5573,5797,282
"Flint, MI",11891,12100,12369,12571,13296,13838,164
"Florence, SC",6994,7241,7709,7898,8119,8169,229
"Florence-Muscle Shoals, AL",4260,4520,4502,4679,4816,4939,322
"Fond du Lac, WI",3952,4102,4243,4490,4659,4758,328
"Fort Collins, CO",12245,13004,14119,14310,15062,15923,150
"Fort Smith, AR-OK",9795,9879,10091,10376,10033,10002,202
"Fort Wayne, IN",17897,18586,18795,19529,20447,20876,115
"Fresno, CA",34043,33971,36181,37323,38784,40465,69
"Gadsden, AL",2669,2699,2652,2715,2803,2929,375
"Gainesville, FL",10595,10950,11740,11608,11969,12498,179
"Gainesville, GA",6948,7119,7186,7824,8514,8923,218
"Gettysburg, PA",2688,2783,2919,3035,3116,3259,368
"Glens Falls, NY",4478,4621,4643,4792,4868,4923,323
"Goldsboro, NC",4110,4243,4330,4346,4399,4396,336
"Grand Forks, ND-MN",4150,4640,4912,4942,5078,5300,303
"Grand Island, NE",3720,3951,4041,4031,4099,4238,341
"Grand Junction, CO",5045,5159,5180,5375,5256,5133,311
"Grand Rapids-Wyoming, MI",43093,46406,49187,52349,56176,58465,53
"Grants Pass, OR",1906,1976,1948,2063,2230,2362,380
"Great Falls, MT",3119,3110,3102,3304,3430,3493,364
"Greeley, CO",8138,8723,9332,10916,11453,11231,188
"Green Bay, WI",15711,16326,16652,17089,17990,18437,132
"Greensboro-High Point, NC",35408,35356,36567,38257,39524,39944,71
"Greenville, NC",6803,6998,7320,7497,7840,8213,228
"Greenville-Anderson-Mauldin, SC",32653,33367,34669,36541,39028,40693,67
"Gulfport-Biloxi-Pascagoula, MS",15531,17173,16445,16326,16371,16287,147
"Hagerstown-Martinsburg, MD-WV",8122,8544,8852,9267,9458,9723,207
"Hammond, LA",3895,3794,3650,3846,3627,3752,361
"Hanford-Corcoran, CA",5086,4796,4908,5327,5037,5092,315
"Harrisburg-Carlisle, PA",30902,31675,32544,33554,34925,35465,77
"Harrisonburg, VA",6996,7219,7340,7494,7846,7837,233
"Hartford-West Hartford-East Hartford, CT",82874,82791,82699,83316,88531,90004,40
"Hattiesburg, MS",5025,5236,5315,5500,5769,5927,278
"Hickory-Lenoir-Morganton, NC",11481,11657,11867,12250,13003,13535,169
"Hilton Head Island-Bluffton-Beaufort, SC",7408,7557,7783,8281,8646,8997,216
"Hinesville, GA",3595,3514,3593,3467,3464,3468,365
"Homosassa Springs, FL",3199,3198,3087,2973,2989,2945,373
"Hot Springs, AR",3011,2971,2925,2999,3052,3058,372
"Houma-Thibodaux, LA",10721,11537,11845,12203,11271,10043,199
"Houston-The Woodlands-Sugar Land, TX",430923,462300,488430,505758,496708,478618,6
"Huntington-Ashland, WV-KY-OH",13194,14028,14877,15112,14824,14407,160
"Huntsville, AL",21879,22327,22534,23329,24254,24846,104
"Idaho Falls, ID",5435,5444,5522,5707,6093,6285,261
"Indianapolis-Carmel-Anderson, IN",113044,116257,123565,127682,130133,135444,26
"Iowa City, IA",8285,8635,9020,9525,9698,9925,204
"Ithaca, NY",4456,4681,4778,4839,5002,5100,314
"Jackson, MI",5268,5327,5801,5726,5997,6135,269
"Jackson, MS",25355,26575,27331,28261,28603,29053,87
"Jackson, TN",5298,5878,5788,5777,5914,6061,273
"Jacksonville, FL",56360,58519,62170,63994,68038,71471,47
"Jacksonville, NC",7948,7869,7859,7854,7618,7679,238
"Janesville-Beloit, WI",5247,5432,5811,5738,6059,6399,257
"Jefferson City, MO",6183,6272,6744,6928,7162,7366,239
"Johnson City, TN",6048,6292,6279,6310,6672,6760,252
"Johnstown, PA",4238,4182,4211,4248,4217,4195,343
"Jonesboro, AR",4478,4610,4778,4795,5000,5199,307
"Joplin, MO",6293,6533,6744,6797,7231,7307,241
"Kahului-Wailuku-Lahaina, HI",7227,7425,7658,8004,8396,8478,222
"Kalamazoo-Portage, MI",13210,13488,14003,14450,15708,16209,148
"Kankakee, IL",3447,3710,3743,3802,3950,4103,348
"Kansas City, MO-KS",105048,112028,115711,120817,125985,129163,31
"Kennewick-Richland, WA",12178,11492,11503,11730,12558,12948,174
"Killeen-Temple, TX",16096,16135,15981,16129,16807,17676,134
"Kingsport-Bristol-Bristol, TN-VA",11696,12210,12063,11601,11783,11796,184
"Kingston, NY",5265,5460,5608,5665,5910,6088,272
"Knoxville, TN",33555,34488,34875,36376,38389,39825,72
"Kokomo, IN",3742,3851,4078,4264,4691,4704,329
"La Crosse-Onalaska, WI-MN",6088,6391,6458,6651,6957,7195,244
"Lafayette, LA",27664,27804,26832,26327,23282,20645,116
"Lafayette-West Lafayette, IN",8735,8963,9093,9415,9706,10007,201
"Lake Charles, LA",13806,14892,13494,15050,15738,16472,145
"Lake Havasu City-Kingman, AZ",3837,3843,3879,4011,4082,4238,342
"Lakeland-Winter Haven, FL",17190,17664,18450,18599,19309,20162,120
"Lancaster, PA",22297,23371,24026,25433,27364,27801,91
"Lansing-East Lansing, MI",19113,18974,19315,20072,20794,22016,113
"Laredo, TX",7561,7718,7775,8007,8021,8071,230
"Las Cruces, NM",6540,6358,6292,6513,6792,6909,249
"Las Vegas-Henderson-Paradise, NV",84875,87098,90938,94232,104508,111091,36
"Lawrence, KS",3822,3801,3895,3996,4238,4413,335
"Lawton, OK",4799,4652,4775,4861,4987,5028,317
"Lebanon, PA",4310,4424,4612,4663,4808,4961,320
"Lewiston, ID-WA",2111,2141,2171,2180,2303,2356,381
"Lewiston-Auburn, ME",3579,3677,3702,3881,3938,4084,350
"Lexington-Fayette, KY",23227,24536,25241,26093,28106,28990,88
"Lima, OH",5688,5564,5576,6035,5520,5519,292
"Lincoln, NE",15481,16616,17332,18180,18588,19203,126
"Little Rock-North Little Rock-Conway, AR",34339,35429,35032,36121,37213,37796,74
"Logan, UT-ID",4156,4207,4205,4449,4753,4819,326
"Longview, TX",10648,11090,11292,11633,10495,9753,206
"Longview, WA",3504,3589,3801,3911,3976,4096,349
"Los Angeles-Long Beach-Anaheim, CA",782565,821769,852509,903100,963448,1001677,2
"Louisville/Jefferson County, KY-IN",58109,61814,62909,68350,71802,74968,46
"Lubbock, TX",10837,11332,12254,12347,12908,13434,171
"Lynchburg, VA",8522,8697,8882,9059,9306,9463,211
"Macon, GA",8055,8262,8614,9182,9420,9474,210
"Madera, CA",4286,4605,4899,5275,5071,5150,310
"Madison, WI",37688,38949,40558,41459,45223,47425,61
"Manchester-Nashua, NH",22405,22678,23504,24301,25832,26826,96
"Manhattan, KS",3338,3221,3205,3283,3479,3554,363
"Mankato-North Mankato, MN",4237,4528,4738,4974,5191,5381,298
"Mansfield, OH",3906,3997,4120,4279,4297,4343,337
"McAllen-Edinburg-Mission, TX",16131,16828,17593,18501,19186,19588,125
"Medford, OR",6198,6532,6842,7204,7644,8014,231
"Memphis, TN-MS-AR",63446,65185,65873,66893,69316,71450,48
"Merced, CA",7288,6974,7695,8339,8001,8254,225
"Miami-Fort Lauderdale-West Palm Beach, FL",254343,266563,268217,292244,314333,328482,12
"Michigan City-La Porte, IN",3739,3839,3922,3915,3820,3834,357
"Midland, MI",4039,4045,4083,4760,5195,5473,295
"Midland, TX",26208,29991,33428,35588,26365,24224,105
"Milwaukee-Waukesha-West Allis, WI",90910,93915,96996,100037,98975,100869,38
"Minneapolis-St. Paul-Bloomington, MN-WI",207711,213853,220936,232260,240931,246689,15
"Missoula, MT",4331,4570,4597,4686,5041,5200,306
"Mobile, AL",17719,17568,17553,17978,18575,18907,128
"Modesto, CA",16450,16529,17204,18392,19015,19730,124
"Monroe, LA",6410,6444,6689,6790,7128,7311,240
"Monroe, MI",4183,4394,4527,4591,4666,4672,330
"Montgomery, AL",15446,15653,15995,16171,16732,17351,139
"Morgantown, WV",6207,6448,6773,7097,7507,7704,236
"Morristown, TN",3369,3643,3714,3877,4075,4139,345
"Mount Vernon-Anacortes, WA",5387,5239,5517,5575,5934,5889,279
"Muncie, IN",3434,3648,3673,3690,3763,3765,360
"Muskegon, MI",4956,5106,5257,5476,5661,5687,286
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",13429,14017,14658,15270,16056,16579,144
"Napa, CA",7515,8300,8830,9528,10333,10540,194
"Naples-Immokalee-Marco Island, FL",13058,13612,14012,15301,16710,17251,141
"Nashville-Davidson--Murfreesboro--Franklin, TN",87683,96273,101187,107850,117786,124243,33
"New Bern, NC",4568,4668,4723,4790,4868,4946,321
"New Haven-Milford, CT",39656,40236,40896,41151,42577,44120,62
"New Orleans-Metairie, LA",75441,77396,72714,76095,77452,77163,45
"New York-Newark-Jersey City, NY-NJ-PA",1363844,1439234,1477046,1542759,1608345,1657457,1
"Niles-Benton Harbor, MI",5856,5854,6181,6426,6660,6692,254
"North Port-Sarasota-Bradenton, FL",23035,23688,24478,26264,28272,29821,86
"Norwich-New London, CT",14525,14561,14465,14219,15009,15854,151
"Ocala, FL",7008,7166,7065,7477,7826,8380,223
"Ocean City, NJ",4348,4389,4748,4967,4995,5205,305
"Odessa, TX",8006,10010,11106,11865,10157,8718,219
"Ogden-Clearfield, UT",21127,20900,21647,22511,23972,24973,101
"Oklahoma City, OK",60630,63356,67693,70269,71528,70235,49
"Olympia-Tumwater, WA",9527,9675,10005,10283,10867,11486,185
"Omaha-Council Bluffs, NE-IA",50026,52466,53631,57413,59673,61289,52
"Orlando-Kissimmee-Sanford, FL",100674,103535,115263,115332,121422,126797,32
"Oshkosh-Neenah, WI",8692,8981,9007,9324,9788,10191,197
"Owensboro, KY",5015,4908,5239,5373,5526,5588,289
"Oxnard-Thousand Oaks-Ventura, CA",43832,45688,47680,48820,49198,48517,60
"Palm Bay-Melbourne-Titusville, FL",17886,17767,18194,18621,19543,20384,118
"Panama City, FL",6901,6968,7605,7889,8145,8277,224
"Parkersburg-Vienna, WV",3511,3596,3782,4080,4033,3915,356
"Pensacola-Ferry Pass-Brent, FL",14698,15157,15845,16035,16736,17533,138
"Peoria, IL",20416,22408,19768,20233,19926,20001,121
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",355924,370052,389787,400520,417698,431038,8
"Phoenix-Mesa-Scottsdale, AZ",186384,195629,199872,209567,220087,230070,16
"Pine Bluff, AR",3158,3205,3173,3098,2961,2931,374
"Pittsburgh, PA",119653,122439,126824,133731,136866,138187,25
"Pittsfield, MA",5865,6143,5917,6008,6294,6612,255
"Pocatello, ID",2506,2566,2454,2498,2589,2692,378
"Portland-South Portland, ME",25991,26662,27120,28236,29644,30751,85
"Portland-Vancouver-Hillsboro, OR-WA",148812,144551,143130,148023,157533,164466,20
"Port St. Lucie, FL",11174,11509,11619,12003,12747,13383,172
"Prescott, AZ",4884,5033,5024,5336,5536,5841,281
"Providence-Warwick, RI-MA",68502,71042,72345,74627,77791,80164,43
"Provo-Orem, UT",15996,16879,17948,19138,21535,23251,109
"Pueblo, CO",4273,4454,4417,4631,4694,4858,324
"Punta Gorda, FL",3219,3443,3301,3596,3905,4114,346
"Racine, WI",7351,7640,7535,7649,7933,7949,232
"Raleigh, NC",59646,62615,64534,68557,74565,79843,44
"Rapid City, SD",5648,5853,5917,6213,6279,6490,256
"Reading, PA",15667,16092,16533,17981,18986,19924,123
"Redding, CA",5130,5086,5263,5579,5893,6198,265
"Reno, NV",19487,19481,20273,21650,24633,25845,99
"Richmond, VA",64053,67572,69831,72181,76861,80702,42
"Riverside-San Bernardino-Ontario, CA",119301,120558,127900,134037,142687,149059,23
"Roanoke, VA",13425,13826,14090,14357,15086,15309,157
"Rochester, MN",9941,10491,10658,11081,11475,12001,181
"Rochester, NY",50349,51839,53141,52653,54445,55426,56
"Rockford, IL",12970,13701,13723,14203,14569,14817,159
"Rocky Mount, NC",6202,5953,6033,6031,6435,6154,268
"Rome, GA",3242,3380,3497,3598,3707,3819,359
"Sacramento--Roseville--Arden-Arcade, CA",97496,100316,104555,109404,115355,122218,34
"Saginaw, MI",7284,7462,7644,7764,7950,8244,226
"St. Cloud, MN",7865,8259,8539,9056,9319,9949,203
"St. George, UT",3598,3712,3955,4239,4690,5129,312
"St. Joseph, MO-KS",4837,5311,5610,5446,5398,5433,296
"St. Louis, MO-IL",137449,142184,146334,150846,156215,159888,22
"Salem, OR",12464,12713,13132,14059,15303,16076,149
"Salinas, CA",18531,19254,20579,20949,22125,22520,111
"Salisbury, MD-DE",13666,13952,15130,16247,16801,17613,135
"Salt Lake City, UT",67150,70114,71636,75221,80684,84826,41
"San Angelo, TX",4316,4490,4828,5313,5061,4839,325
"San Antonio-New Braunfels, TX",87544,93331,101348,110299,112171,116538,35
"San Diego-Carlsbad, CA",183311,189294,198546,205090,210679,215343,17
"San Francisco-Oakland-Hayward, CA",340757,366459,385843,412423,440246,470529,7
"San Jose-Sunnyvale-Santa Clara, CA",172628,181105,193840,210718,236217,252487,14
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",11413,12065,13110,13407,14027,14272,161
"Santa Cruz-Watsonville, CA",10798,10857,11719,12254,12806,13581,168
"Santa Fe, NM",6696,6626,6974,6745,7055,7120,246
"Santa Maria-Santa Barbara, CA",21226,21916,22930,23658,24918,24941,102
"Santa Rosa, CA",21163,21446,22915,24398,26387,27311,93
"Savannah, GA",13992,14829,15307,16203,17049,17606,136
"Scranton--Wilkes-Barre--Hazleton, PA",20236,20528,21871,21815,22653,23068,110
"Seattle-Tacoma-Bellevue, WA",250148,267472,280291,295994,311347,330409,11
"Sebastian-Vero Beach, FL",4144,4431,4418,4820,5197,5570,291
"Sebring, FL",1921,1989,1975,1909,1965,2011,382
"Sheboygan, WI",4991,5411,5514,5689,5787,6006,274
"Sherman-Denison, TX",3630,3714,3977,4004,4178,4292,339
"Shreveport-Bossier City, LA",21608,20862,21602,22074,20802,20437,117
"Sierra Vista-Douglas, AZ",4415,4202,3968,3847,3878,3942,354
"Sioux City, IA-NE-SD",8390,8137,8696,8727,9204,9522,208
"Sioux Falls, SD",14922,15948,15919,16784,17933,18729,129
"South Bend-Mishawaka, IN-MI",12309,12485,12408,12904,13488,14099,163
"Spartanburg, SC",11923,12094,12547,13349,14304,15183,158
"Spokane-Spokane Valley, WA",21204,21232,21555,22521,23386,23977,106
"Springfield, IL",9549,9543,9391,9814,9845,9907,205
"Springfield, MA",23121,24005,24699,25235,26518,27333,92
"Springfield, MO",15504,15838,16529,17107,18069,18605,131
"Springfield, OH",3817,3950,4095,4208,4229,4317,338
"State College, PA",6777,7283,7837,8302,8583,8667,221
"Staunton-Waynesboro, VA",4599,4389,4558,4706,4976,4980,319
"Stockton-Lodi, CA",21261,21965,22714,23259,24768,26190,98
"Sumter, SC",3192,3486,3522,3601,3648,3690,362
"Syracuse, NY",29391,30346,30428,31218,32095,32683,80
"Tallahassee, FL",13435,13941,14146,14446,14844,15784,152
"Tampa-St. Petersburg-Clearwater, FL",112547,117711,125715,127948,134579,142633,24
"Terre Haute, IN",6269,6257,6418,6359,6252,6216,262
"Texarkana, TX-AR",5152,5133,4876,4917,5119,5298,304
"The Villages, FL",1973,2081,2146,2323,2407,2590,379
"Toledo, OH",29093,29649,30542,33384,32606,33158,79
"Topeka, KS",9548,9836,9819,10030,10048,10471,195
"Trenton, NJ",26008,30029,28719,28953,29717,31203,84
"Tucson, AZ",34894,36720,36147,36405,36257,37040,76
"Tulsa, OK",53674,57469,62959,67593,60759,58248,54
"Tuscaloosa, AL",10858,10807,11211,11061,11366,10888,190
"Tyler, TX",13473,13664,15001,15616,13633,13499,170
"Urban Honolulu, HI",53342,55267,57315,58953,61951,64756,50
"Utica-Rome, NY",9899,10169,10309,10310,10473,10637,193
"Valdosta, GA",4334,4546,4530,4633,4719,4777,327
"Vallejo-Fairfield, CA",15524,16552,17923,18716,19502,20295,119
"Victoria, TX",4385,4933,5416,5676,5192,4665,331
"Vineland-Bridgeton, NJ",5228,5306,5281,5463,5611,5751,283
"Virginia Beach-Norfolk-Newport News, VA-NC",83353,84485,85414,87084,91876,92827,39
"Visalia-Porterville, CA",14057,13195,14194,15259,14911,15656,153
"Waco, TX",9207,9744,10295,10752,11299,11892,183
"Walla Walla, WA",2615,2644,2695,2659,2752,2867,376
"Warner Robins, GA",6449,6532,6538,6678,6756,6890,251
"Washington-Arlington-Alexandria, DC-VA-MD-WV",444001,454229,459273,471272,493651,509224,5
"Waterloo-Cedar Falls, IA",7791,9277,8601,9040,9121,9163,215
"Watertown-Fort Drum, NY",6508,6472,6384,6332,6153,6203,264
"Wausau, WI",6079,6596,6791,7167,7547,7686,237
"Weirton-Steubenville, WV-OH",3858,4000,4002,4313,4110,4023,352
"Wenatchee, WA",4033,4151,4161,4306,4556,4660,332
"Wheeling, WV-OH",6416,6862,6915,7372,7374,7265,242
"Wichita, KS",28841,30014,28700,30104,32109,32022,81
"Wichita Falls, TX",7112,7117,7708,7208,6321,6164,267
"Williamsport, PA",4473,4727,4942,5251,4927,4659,333
"Wilmington, NC",11048,10852,11885,12682,13492,14192,162
"Winchester, VA-WV",5263,5505,5698,5887,6241,6296,260
"Winston-Salem, NC",24507,24357,25129,27220,28738,28747,89
"Worcester, MA-CT",35625,36528,37409,38177,39923,42286,66
"Yakima, WA",8676,8767,8737,9028,9034,9216,214
"York-Hanover, PA",16532,16312,17025,17271,17909,18631,130
"Youngstown-Warren-Boardman, OH-PA",19135,19213,18870,19505,19860,19966,122
"Yuba City, CA",4958,4934,5227,5341,5560,5738,284
"Yuma, AZ",5934,5670,6005,5852,6239,6358,258